Cycle,GNNEpisode,GNNReward,GNNLoss,AGVPeakStress
7,6,9.95,0.0123,0.0
7,7,9.95,0.0123,0.0
7,8,9.95,0.0123,0.0
7,9,9.95,0.0123,0.0
7,10,9.95,0.0123,0.0
7,11,9.95,0.0123,0.0
7,12,9.95,0.0123,0.0
7,13,9.95,0.0123,0.0
7,14,9.95,0.0123,0.0
7,15,9.95,0.0123,0.0
7,16,9.95,0.0123,0.0
7,17,9.95,0.0123,0.0
7,18,9.95,0.0123,0.0
7,19,9.95,0.0123,0.0
7,20,9.95,0.0123,0.0
7,21,9.95,0.0123,0.0
7,22,9.95,0.0123,0.0
7,23,9.95,0.0123,0.0
7,24,9.95,0.0123,0.0
7,25,9.95,0.0123,0.0
7,26,9.95,0.0123,0.0
7,27,9.95,0.0123,0.0
7,28,9.95,0.0123,0.0
7,29,9.95,0.0123,0.0
8,0,9.95,0.0123,0.0
8,1,9.95,0.0123,0.0
8,2,9.95,0.0123,0.0
8,3,9.95,0.0123,0.0
8,4,9.95,0.0123,0.0
8,5,9.95,0.0123,0.0
8,6,9.95,0.0123,0.0
8,7,9.95,0.0123,0.0
8,8,9.95,0.0123,0.0
8,9,9.95,0.0123,0.0
8,10,9.95,0.0123,0.0
8,11,9.95,0.0123,0.0
8,12,9.95,0.0123,0.0
8,13,9.95,0.0123,0.0
8,14,9.95,0.0123,0.0
8,15,9.95,0.0123,0.0
8,16,9.95,0.0123,0.0
8,17,9.95,0.0123,0.0
8,18,9.95,0.0123,0.0
8,19,9.95,0.0123,0.0
8,20,9.95,0.0123,0.0
8,21,9.95,0.0123,0.0
8,22,9.95,0.0123,0.0
8,23,9.95,0.0123,0.0
8,24,9.95,0.0123,0.0
8,25,9.95,0.0123,0.0
8,26,9.95,0.0123,0.0
8,27,9.95,0.0123,0.0
8,28,9.95,0.0123,0.0
8,29,9.95,0.0123,0.0
9,0,9.95,0.0123,0.0
9,1,9.95,0.0123,0.0
