Episode,Reward,Collision,TotalDelay,Loss
186,9.95,0,177.00,31.4727
187,9.95,0,177.00,31.3864
188,9.95,0,177.00,31.2993
189,9.95,0,177.00,31.2114
190,9.95,0,177.00,31.1227
191,9.95,0,177.00,31.0328
192,9.95,0,177.00,30.9425
193,9.95,0,177.00,30.8517
194,9.95,0,177.00,30.7600
195,9.95,0,177.00,30.6674
196,9.95,0,177.00,30.5739
197,9.95,0,177.00,30.4801
198,9.95,0,177.00,30.3849
199,9.95,0,177.00,30.2891
200,9.95,0,177.00,30.1925
201,9.95,0,177.00,30.0949
202,9.95,0,177.00,29.9966
203,9.95,0,177.00,29.8975
204,9.95,0,177.00,29.7976
205,9.95,0,177.00,29.6969
206,9.95,0,177.00,29.5955
207,9.95,0,177.00,29.4931
208,9.95,0,177.00,29.3899
209,9.95,0,177.00,29.2859
210,9.95,0,177.00,29.1809
211,9.95,0,177.00,29.0751
212,9.95,0,177.00,28.9687
213,9.95,0,177.00,28.8615
214,9.95,0,177.00,28.7535
215,9.95,0,177.00,28.6448
216,9.95,0,177.00,28.5352
217,9.95,0,177.00,28.4249
218,9.95,0,177.00,28.3139
219,9.95,0,177.00,28.2020
220,9.95,0,177.00,28.0895
221,9.95,0,177.00,27.9762
222,9.95,0,177.00,27.8624
223,9.95,0,177.00,27.7476
224,9.95,0,177.00,27.6321
225,9.95,0,177.00,27.5159
226,9.95,0,177.00,27.3988
227,9.95,0,177.00,27.2810
228,9.95,0,177.00,27.1626
229,9.95,0,177.00,27.0433
230,9.95,0,177.00,26.9231
231,9.95,0,177.00,26.8021
232,9.95,0,177.00,26.6803
233,9.95,0,177.00,26.5575
234,9.95,0,177.00,26.4339
235,9.95,0,177.00,26.3094
236,9.95,0,177.00,26.1839
237,9.95,0,177.00,26.0576
238,9.95,0,177.00,25.9306
239,9.95,0,177.00,25.8027
240,9.95,0,177.00,25.6741
241,9.95,0,177.00,25.5447
242,9.95,0,177.00,25.4146
243,9.95,0,177.00,25.2839
244,9.95,0,177.00,25.1524
245,9.95,0,177.00,25.0207
246,9.95,0,177.00,24.8884
247,9.95,0,177.00,24.7554
248,9.95,0,177.00,24.6215
249,9.95,0,177.00,24.4865
250,9.95,0,177.00,24.3508
251,9.95,0,177.00,24.2144
252,9.95,0,177.00,24.0772
253,9.95,0,177.00,23.9394
254,9.95,0,177.00,23.8009
255,9.95,0,177.00,23.6618
256,9.95,0,177.00,23.5218
257,9.95,0,177.00,23.3809
258,9.95,0,177.00,23.2393
259,9.95,0,177.00,23.0971
260,9.95,0,177.00,22.9542
261,9.95,0,177.00,22.8105
262,9.95,0,177.00,22.6662
263,9.95,0,177.00,22.5213
264,9.95,0,177.00,22.3757
265,9.95,0,177.00,22.2295
266,9.95,0,177.00,22.0830
267,9.95,0,177.00,21.9355
268,9.95,0,177.00,21.7875
269,9.95,0,177.00,21.6388
270,9.95,0,177.00,21.4895
271,9.95,0,177.00,21.3397
272,9.95,0,177.00,21.1893
273,9.95,0,177.00,21.0385
274,9.95,0,177.00,20.8869
275,9.95,0,177.00,20.7350
276,9.95,0,177.00,20.5825
277,9.95,0,177.00,20.4296
278,9.95,0,177.00,20.2762
279,9.95,0,177.00,20.1224
280,9.95,0,177.00,19.9681
281,9.95,0,177.00,19.8132
282,9.95,0,177.00,19.6578
283,9.95,0,177.00,19.5021
284,9.95,0,177.00,19.3459
285,9.95,0,177.00,19.1894
286,9.95,0,177.00,19.0324
287,9.95,0,177.00,18.8750
288,9.95,0,177.00,18.7173
289,9.95,0,177.00,18.5593
290,9.95,0,177.00,18.4009
291,9.95,0,177.00,18.2421
292,9.95,0,177.00,18.0831
293,9.95,0,177.00,17.9236
294,9.95,0,177.00,17.7639
295,9.95,0,177.00,17.6038
296,9.95,0,177.00,17.4435
297,9.95,0,177.00,17.2831
298,9.95,0,177.00,17.1223
299,9.95,0,177.00,16.9611
300,9.95,0,177.00,16.7998
301,9.95,0,177.00,16.6382
302,9.95,0,177.00,16.4766
303,9.95,0,177.00,16.3146
304,9.95,0,177.00,16.1521
305,9.95,0,177.00,15.9894
306,9.95,0,177.00,15.8265
307,9.95,0,177.00,15.6635
308,9.95,0,177.00,15.5003
309,9.95,0,177.00,15.3371
310,9.95,0,177.00,15.1737
311,9.95,0,177.00,15.0105
312,9.95,0,177.00,14.8473
313,9.95,0,177.00,14.6841
314,9.95,0,177.00,14.5210
315,9.95,0,177.00,14.3579
316,9.95,0,177.00,14.1947
317,9.95,0,177.00,14.0317
318,9.95,0,177.00,13.8689
319,9.95,0,177.00,13.7061
320,9.95,0,177.00,13.5434
321,9.95,0,177.00,13.3809
322,9.95,0,177.00,13.2184
323,9.95,0,177.00,13.0561
324,9.95,0,177.00,12.8940
325,9.95,0,177.00,12.7322
326,9.95,0,177.00,12.5707
327,9.95,0,177.00,12.4094
328,9.95,0,177.00,12.2484
329,9.95,0,177.00,12.0877
330,9.95,0,177.00,11.9273
331,9.95,0,177.00,11.7674
332,9.95,0,177.00,11.6079
333,9.95,0,177.00,11.4484
334,9.95,0,177.00,11.2894
335,9.95,0,177.00,11.1308
336,9.95,0,177.00,10.9728
337,9.95,0,177.00,10.8153
338,9.95,0,177.00,10.6585
339,9.95,0,177.00,10.5022
340,9.95,0,177.00,10.3466
341,9.95,0,177.00,10.1916
342,9.95,0,177.00,10.0374
343,9.95,0,177.00,9.8838
344,9.95,0,177.00,9.7309
345,9.95,0,177.00,9.5789
346,9.95,0,177.00,9.4276
347,9.95,0,177.00,9.2770
348,9.95,0,177.00,9.1272
349,9.95,0,177.00,8.9782
350,9.95,0,177.00,8.8301
351,9.95,0,177.00,8.6828
352,9.95,0,177.00,8.5364
353,9.95,0,177.00,8.3909
354,9.95,0,177.00,8.2463
355,9.95,0,177.00,8.1024
356,9.95,0,177.00,7.9578
357,9.95,0,177.00,7.8137
358,9.95,0,177.00,7.6703
359,9.95,0,177.00,7.5277
360,9.95,0,177.00,7.3860
361,9.95,0,177.00,7.2453
362,9.95,0,177.00,7.1057
363,9.95,0,177.00,6.9667
364,9.95,0,177.00,6.8289
365,9.95,0,177.00,6.6923
366,9.95,0,177.00,6.5567
367,9.95,0,177.00,6.4224
368,9.95,0,177.00,6.2894
369,9.95,0,177.00,6.1576
370,9.95,0,177.00,6.0272
371,9.95,0,177.00,5.8981
372,9.95,0,177.00,5.7704
373,9.95,0,177.00,5.6441
374,9.95,0,177.00,5.5192
375,9.95,0,177.00,5.3957
376,9.95,0,177.00,5.2737
377,9.95,0,177.00,5.1530
378,9.95,0,177.00,5.0337
379,9.95,0,177.00,4.9159
380,9.95,0,177.00,4.7996
381,9.95,0,177.00,4.6847
382,9.95,0,177.00,4.5715
383,9.95,0,177.00,4.4598
384,9.95,0,177.00,4.3496
385,9.95,0,177.00,4.2411
386,9.95,0,177.00,4.1342
387,9.95,0,177.00,4.0289
388,9.95,0,177.00,3.9252
389,9.95,0,177.00,3.8231
390,9.95,0,177.00,3.7226
391,9.95,0,177.00,3.6238
392,9.95,0,177.00,3.5267
393,9.95,0,177.00,3.4311
394,9.95,0,177.00,3.3373
395,9.95,0,177.00,3.2450
396,9.95,0,177.00,3.1544
397,9.95,0,177.00,3.0654
398,9.95,0,177.00,2.9782
399,9.95,0,177.00,2.8925
400,9.95,0,177.00,2.8085
401,9.95,0,177.00,2.7260
402,9.95,0,177.00,2.6451
403,9.95,0,177.00,2.5659
404,9.95,0,177.00,2.4883
405,9.95,0,177.00,2.4123
406,9.95,0,177.00,2.3379
407,9.95,0,177.00,2.2651
408,9.95,0,177.00,2.1938
409,9.95,0,177.00,2.1242
410,9.95,0,177.00,2.0561
411,9.95,0,177.00,1.9895
412,9.95,0,177.00,1.9245
413,9.95,0,177.00,1.8611
414,9.95,0,177.00,1.7991
415,9.95,0,177.00,1.7387
416,9.95,0,177.00,1.6797
417,9.95,0,177.00,1.6222
418,9.95,0,177.00,1.5662
419,9.95,0,177.00,1.5117
420,9.95,0,177.00,1.4585
421,9.95,0,177.00,1.4067
422,9.95,0,177.00,1.3563
423,9.95,0,177.00,1.3074
424,9.95,0,177.00,1.2597
425,9.95,0,177.00,1.2134
426,9.95,0,177.00,1.1684
427,9.95,0,177.00,1.1247
428,9.95,0,177.00,1.0823
429,9.95,0,177.00,1.0411
430,9.95,0,177.00,1.0012
431,9.95,0,177.00,0.9625
432,9.95,0,177.00,0.9249
433,9.95,0,177.00,0.8885
434,9.95,0,177.00,0.8533
435,9.95,0,177.00,0.8191
436,9.95,0,177.00,0.7860
437,9.95,0,177.00,0.7540
438,9.95,0,177.00,0.7231
439,9.95,0,177.00,0.6932
440,9.95,0,177.00,0.6643
441,9.95,0,177.00,0.6364
442,9.95,0,177.00,0.6095
443,9.95,0,177.00,0.5835
444,9.95,0,177.00,0.5585
445,9.95,0,177.00,0.5343
446,9.95,0,177.00,0.5111
447,9.95,0,177.00,0.4887
448,9.95,0,177.00,0.4671
449,9.95,0,177.00,0.4464
450,9.95,0,177.00,0.4264
451,9.95,0,177.00,0.4072
452,9.95,0,177.00,0.3888
453,9.95,0,177.00,0.3711
454,9.95,0,177.00,0.3540
455,9.95,0,177.00,0.3377
456,9.95,0,177.00,0.3221
457,9.95,0,177.00,0.3071
458,9.95,0,177.00,0.2927
459,9.95,0,177.00,0.2789
460,9.95,0,177.00,0.2657
461,9.95,0,177.00,0.2530
462,9.95,0,177.00,0.2409
463,9.95,0,177.00,0.2293
464,9.95,0,177.00,0.2183
465,9.95,0,177.00,0.2077
466,9.95,0,177.00,0.1976
467,9.95,0,177.00,0.1880
468,9.95,0,177.00,0.1788
469,9.95,0,177.00,0.1700
470,9.95,0,177.00,0.1616
471,9.95,0,177.00,0.1537
472,9.95,0,177.00,0.1461
473,9.95,0,177.00,0.1389
474,9.95,0,177.00,0.1320
475,9.95,0,177.00,0.1254
476,9.95,0,177.00,0.1192
477,9.95,0,177.00,0.1133
478,9.95,0,177.00,0.1077
479,9.95,0,177.00,0.1023
480,9.95,0,177.00,0.0972
481,9.95,0,177.00,0.0924
482,9.95,0,177.00,0.0879
483,9.95,0,177.00,0.0835
484,9.95,0,177.00,0.0794
485,9.95,0,177.00,0.0756
486,9.95,0,177.00,0.0719
487,9.95,0,177.00,0.0684
488,9.95,0,177.00,0.0651
489,9.95,0,177.00,0.0620
490,9.95,0,177.00,0.0590
491,9.95,0,177.00,0.0563
492,9.95,0,177.00,0.0536
493,9.95,0,177.00,0.0512
494,9.95,0,177.00,0.0488
495,9.95,0,177.00,0.0466
496,9.95,0,177.00,0.0445
497,9.95,0,177.00,0.0426
498,9.95,0,177.00,0.0407
499,9.95,0,177.00,0.0389
500,9.95,0,177.00,0.0373
501,9.95,0,177.00,0.0357
502,9.95,0,177.00,0.0343
503,9.95,0,177.00,0.0329
504,9.95,0,177.00,0.0316
505,9.95,0,177.00,0.0304
506,9.95,0,177.00,0.0292
507,9.95,0,177.00,0.0281
508,9.95,0,177.00,0.0271
509,9.95,0,177.00,0.0262
510,9.95,0,177.00,0.0253
511,9.95,0,177.00,0.0245
512,9.95,0,177.00,0.0237
513,9.95,0,177.00,0.0229
514,9.95,0,177.00,0.0222
515,9.95,0,177.00,0.0216
516,9.95,0,177.00,0.0210
517,9.95,0,177.00,0.0204
518,9.95,0,177.00,0.0199
519,9.95,0,177.00,0.0194
520,9.95,0,177.00,0.0189
521,9.95,0,177.00,0.0185
522,9.95,0,177.00,0.0181
523,9.95,0,177.00,0.0177
524,9.95,0,177.00,0.0174
525,9.95,0,177.00,0.0170
526,9.95,0,177.00,0.0167
527,9.95,0,177.00,0.0164
528,9.95,0,177.00,0.0161
529,9.95,0,177.00,0.0159
530,9.95,0,177.00,0.0156
531,9.95,0,177.00,0.0154
532,9.95,0,177.00,0.0152
533,9.95,0,177.00,0.0150
534,9.95,0,177.00,0.0148
535,9.95,0,177.00,0.0147
536,9.95,0,177.00,0.0145
537,9.95,0,177.00,0.0144
538,9.95,0,177.00,0.0142
539,9.95,0,177.00,0.0141
540,9.95,0,177.00,0.0140
541,9.95,0,177.00,0.0139
542,9.95,0,177.00,0.0138
543,9.95,0,177.00,0.0137
544,9.95,0,177.00,0.0136
545,9.95,0,177.00,0.0135
546,9.95,0,177.00,0.0134
547,9.95,0,177.00,0.0133
548,9.95,0,177.00,0.0133
549,9.95,0,177.00,0.0132
550,9.95,0,177.00,0.0131
551,9.95,0,177.00,0.0131
552,9.95,0,177.00,0.0130
553,9.95,0,177.00,0.0130
554,9.95,0,177.00,0.0129
555,9.95,0,177.00,0.0129
556,9.95,0,177.00,0.0128
557,9.95,0,177.00,0.0128
558,9.95,0,177.00,0.0128
559,9.95,0,177.00,0.0127
560,9.95,0,177.00,0.0127
561,9.95,0,177.00,0.0127
562,9.95,0,177.00,0.0127
563,9.95,0,177.00,0.0126
564,9.95,0,177.00,0.0126
565,9.95,0,177.00,0.0126
566,9.95,0,177.00,0.0126
567,9.95,0,177.00,0.0126
568,9.95,0,177.00,0.0125
569,9.95,0,177.00,0.0125
570,9.95,0,177.00,0.0125
571,9.95,0,177.00,0.0125
572,9.95,0,177.00,0.0125
573,9.95,0,177.00,0.0125
574,9.95,0,177.00,0.0125
575,9.95,0,177.00,0.0125
576,9.95,0,177.00,0.0124
577,9.95,0,177.00,0.0124
578,9.95,0,177.00,0.0124
579,9.95,0,177.00,0.0124
580,9.95,0,177.00,0.0124
581,9.95,0,177.00,0.0124
582,9.95,0,177.00,0.0124
583,9.95,0,177.00,0.0124
584,9.95,0,177.00,0.0124
585,9.95,0,177.00,0.0124
586,9.95,0,177.00,0.0124
587,9.95,0,177.00,0.0124
588,9.95,0,177.00,0.0124
589,9.95,0,177.00,0.0124
590,9.95,0,177.00,0.0124
591,9.95,0,177.00,0.0123
592,9.95,0,177.00,0.0123
593,9.95,0,177.00,0.0123
594,9.95,0,177.00,0.0123
595,9.95,0,177.00,0.0123
596,9.95,0,177.00,0.0123
597,9.95,0,177.00,0.0123
598,9.95,0,177.00,0.0123
599,9.95,0,177.00,0.0123
600,9.95,0,177.00,0.0123
601,9.95,0,177.00,0.0123
602,9.95,0,177.00,0.0123
603,9.95,0,177.00,0.0123
604,9.95,0,177.00,0.0123
605,9.95,0,177.00,0.0123
606,9.95,0,177.00,0.0123
607,9.95,0,177.00,0.0123
608,9.95,0,177.00,0.0123
609,9.95,0,177.00,0.0123
610,9.95,0,177.00,0.0123
611,9.95,0,177.00,0.0123
612,9.95,0,177.00,0.0123
613,9.95,0,177.00,0.0123
614,9.95,0,177.00,0.0123
615,9.95,0,177.00,0.0123
616,9.95,0,177.00,0.0123
617,9.95,0,177.00,0.0123
618,9.95,0,177.00,0.0123
619,9.95,0,177.00,0.0123
620,9.95,0,177.00,0.0123
621,9.95,0,177.00,0.0123
622,9.95,0,177.00,0.0123
623,9.95,0,177.00,0.0123
624,9.95,0,177.00,0.0123
625,9.95,0,177.00,0.0123
626,9.95,0,177.00,0.0123
627,9.95,0,177.00,0.0123
628,9.95,0,177.00,0.0123
629,9.95,0,177.00,0.0123
630,9.95,0,177.00,0.0123
631,9.95,0,177.00,0.0123
632,9.95,0,177.00,0.0123
633,9.95,0,177.00,0.0123
634,9.95,0,177.00,0.0123
635,9.95,0,177.00,0.0123
636,9.95,0,177.00,0.0123
637,9.95,0,177.00,0.0123
638,9.95,0,177.00,0.0123
639,9.95,0,177.00,0.0123
640,9.95,0,177.00,0.0123
641,9.95,0,177.00,0.0123
642,9.95,0,177.00,0.0123
643,9.95,0,177.00,0.0123
644,9.95,0,177.00,0.0123
645,9.95,0,177.00,0.0123
646,9.95,0,177.00,0.0123
647,9.95,0,177.00,0.0123
648,9.95,0,177.00,0.0123
649,9.95,0,177.00,0.0123
650,9.95,0,177.00,0.0123
651,9.95,0,177.00,0.0123
652,9.95,0,177.00,0.0123
653,9.95,0,177.00,0.0123
654,9.95,0,177.00,0.0123
655,9.95,0,177.00,0.0123
656,9.95,0,177.00,0.0123
657,9.95,0,177.00,0.0123
658,9.95,0,177.00,0.0123
659,9.95,0,177.00,0.0123
660,9.95,0,177.00,0.0123
661,9.95,0,177.00,0.0123
662,9.95,0,177.00,0.0123
663,9.95,0,177.00,0.0123
664,9.95,0,177.00,0.0123
665,9.95,0,177.00,0.0123
666,9.95,0,177.00,0.0123
667,9.95,0,177.00,0.0123
668,9.95,0,177.00,0.0123
669,9.95,0,177.00,0.0123
670,9.95,0,177.00,0.0123
671,9.95,0,177.00,0.0123
672,9.95,0,177.00,0.0123
673,9.95,0,177.00,0.0123
674,9.95,0,177.00,0.0123
675,9.95,0,177.00,0.0123
676,9.95,0,177.00,0.0123
677,9.95,0,177.00,0.0123
678,9.95,0,177.00,0.0123
679,9.95,0,177.00,0.0123
680,9.95,0,177.00,0.0123
681,9.95,0,177.00,0.0123
682,9.95,0,177.00,0.0123
683,9.95,0,177.00,0.0123
684,9.95,0,177.00,0.0123
685,9.95,0,177.00,0.0123
686,9.95,0,177.00,0.0123
687,9.95,0,177.00,0.0123
688,9.95,0,177.00,0.0123
689,9.95,0,177.00,0.0123
690,9.95,0,177.00,0.0123
691,9.95,0,177.00,0.0123
692,9.95,0,177.00,0.0123
693,9.95,0,177.00,0.0123
694,9.95,0,177.00,0.0123
695,9.95,0,177.00,0.0123
696,9.95,0,177.00,0.0123
697,9.95,0,177.00,0.0123
698,9.95,0,177.00,0.0123
699,9.95,0,177.00,0.0123
700,9.95,0,177.00,0.0123
701,9.95,0,177.00,0.0123
702,9.95,0,177.00,0.0123
703,9.95,0,177.00,0.0123
704,9.95,0,177.00,0.0123
705,9.95,0,177.00,0.0123
706,9.95,0,177.00,0.0123
